activity_id,data,nome,tipo,duracao_s,distancia_m,calorias,fc_media,fc_maxima,velocidade_media,velocidade_maxima,elevacao_ganho,efeito_aerobico,efeito_anaerobico,carga_atividade,label_efeito,min_moderados,min_vigorosos,body_battery_impacto,temperatura_min,temperatura_max,local,hr_zona_1_s,hr_zona_2_s,hr_zona_3_s,hr_zona_4_s,hr_zona_5_s
22449875714,2026-04-08,São Vicente Cycling,cycling,3329.301025390625,19624.25,357.0,113.0,132.0,5.894000053405762,7.72599983215332,29.0,1.5,0.0,17.642623901367188,AEROBIC_BASE,48,1,-8,28.0,30.0,São Vicente,2948.469,289.995,0.0,0.0,0.0
22436723338,2026-04-07,São Vicente - Cycling Threshold,cycling,2550.218017578125,16279.349609375,444.0,136.0,167.0,6.383999824523926,7.949999809265137,6.0,3.0,0.0,72.86433410644531,AEROBIC_BASE,16,27,-10,26.0,30.0,São Vicente,647.85,1096.902,714.817,0.0,0.0
22432691316,2026-04-06,Strength,strength_training,1663.137939453125,0.0,165.0,107.0,142.0,0.0,,,1.100000023841858,0.0,12.508163452148438,AEROBIC_BASE,11,5,-2,,,,594.505,502.395,0.0,0.0,0.0
22423878233,2026-04-06,São Vicente Running,running,1826.7669677734375,4201.259765625,263.0,111.0,118.0,2.299999952316284,2.921000003814697,2.0,1.5,0.0,17.863998413085938,RECOVERY,10,18,-6,27.0,29.0,São Vicente,1801.282,0.0,0.0,0.0,0.0
22409978882,2026-04-04,São Vicente Running,running,4413.05517578125,10237.7099609375,654.0,128.0,142.0,2.319999933242798,2.930000066757202,2.0,2.4000000953674316,0.0,43.86944580078125,AEROBIC_BASE,34,38,-8,31.0,32.0,São Vicente,159.084,4236.5,0.0,0.0,0.0
22406674872,2026-04-04,Pool Swim,lap_swimming,3134.990966796875,1175.0,341.0,113.0,140.0,0.6520000100135803,0.8029999732971191,,1.5,0.0,17.541473388671875,RECOVERY,41,5,,,,,1943.596,754.334,0.0,0.0,0.0
22392047295,2026-04-03,Simulado Triathlon Sprint - Corrida ,running,1337.843994140625,5008.5400390625,318.0,168.0,177.0,3.74399995803833,4.179999828338623,1.0,3.4000000953674316,0.0,104.49351501464844,TEMPO,0,21,-5,26.0,28.0,São Vicente,0.0,38.917,1298.822,0.0,0.0
22392045300,2026-04-03,Transição T2,strength_training,73.80400085449219,0.0,12.0,129.0,141.0,0.0,,,0.20000000298023224,0.0,2.2513275146484375,UNKNOWN,0,0,0,,,,15.002,58.802,0.0,0.0,0.0
22392044695,2026-04-03,Simulado Triathlon Sprint - Bike,cycling,2770.56494140625,20017.279296875,614.0,155.0,167.0,7.224999904632568,9.918999671936035,10.0,3.799999952316284,0.0,142.82933044433594,AEROBIC_BASE,1,45,-13,25.0,26.0,São Vicente,27.427,716.965,2026.114,0.0,0.0
22392042842,2026-04-03,Aquecimento Simulado ,cycling,896.9140014648438,5375.919921875,111.0,112.0,132.0,5.99399995803833,6.698999881744385,10.0,0.699999988079071,0.0,8.153594970703125,RECOVERY,13,1,-2,25.0,29.0,São Vicente,686.983,163.725,0.0,0.0,0.0
22380601506,2026-04-02,Pool Swim,lap_swimming,3372.31103515625,1300.0,377.0,116.0,149.0,0.6389999985694885,0.859000027179718,,2.0,0.0,22.683273315429688,AEROBIC_BASE,40,11,,,,,1821.524,1222.37,0.0,0.0,0.0
22369551950,2026-04-01,Pool Swim,lap_swimming,3147.135986328125,1225.0,319.0,110.0,147.0,0.677999973297119,1.822999954223633,,1.2999999523162842,0.10000000149011612,15.942657470703125,RECOVERY,37,3,,,,,1852.845,637.011,0.0,0.0,0.0
22368917445,2026-04-01,São Vicente Running,running,1825.35400390625,4103.9501953125,258.0,109.0,119.0,2.247999906539917,2.8459999561309814,2.0,1.399999976158142,0.0,16.829574584960938,RECOVERY,21,8,-6,27.0,28.0,São Vicente,1777.229,0.0,0.0,0.0,0.0
22357679497,2026-03-31,São Vicente Cycling,cycling,3600.37109375,21274.73046875,362.0,111.0,137.0,5.908999919891357,7.473999977111816,23.0,1.399999976158142,0.0,15.936050415039062,RECOVERY,56,2,-7,25.0,30.0,São Vicente,3350.608,150.0,0.0,0.0,0.0
22357677891,2026-03-30,Strength,strength_training,1883.009033203125,0.0,149.0,99.0,135.0,0.0,,,0.5,0.0,6.40936279296875,AEROBIC_BASE,15,1,0,,,,806.012,228.0,0.0,0.0,0.0
