data,duracao_total_min,sono_profundo_min,sono_leve_min,sono_rem_min,acordado_min,vezes_acordado,momentos_agitados,score_geral,score_geral_qualif,score_rem_pct,score_rem_qualif,score_deep_pct,score_deep_qualif,score_light_pct,score_duracao_qualif,score_stress_qualif,score_agitacao_qualif,feedback_sono,insight_personalizado,hrv_medio_noite,hrv_status,fc_media_sono,fc_repouso,respiracao_media,respiracao_minima,respiracao_maxima,stress_medio_sono,body_battery_variacao,sono_necessidade_baseline,sono_necessidade_real,sono_ajuste_treino,sono_ajuste_hrv
2025-12-22,437.0,93.0,236.0,108.0,3.0,0,,89,GOOD,25,EXCELLENT,21,EXCELLENT,54,GOOD,EXCELLENT,EXCELLENT,POSITIVE_LONG_AND_REFRESHING,RHYTHM_POS_GOOD_SLEEP_GOOD_TIMING,,,50.0,46,13.0,7.0,19.0,13.0,69,480,510,NO_CHANGE,INCREASING
2025-12-23,403.9,108.0,269.0,27.0,16.0,1,,68,FAIR,7,POOR,27,EXCELLENT,67,FAIR,FAIR,GOOD,NEGATIVE_NOT_ENOUGH_REM,GENERAL_NEG_FAIR_OR_POOR_SLEEP,,,58.0,46,13.0,7.0,21.0,20.0,52,480,480,NO_CHANGE,NO_CHANGE
2025-12-24,497.6,82.0,342.0,74.0,13.0,1,,85,GOOD,15,FAIR,16,GOOD,69,EXCELLENT,FAIR,EXCELLENT,POSITIVE_LONG_AND_CALM,MOD_EXERCISE_POS_EXCELLENT_OR_GOOD_SLEEP_VIGOROUS_DURING_DAY,,,55.0,50,13.0,6.0,21.0,17.0,70,480,480,NO_CHANGE,NO_CHANGE
2025-12-25,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,480,480,NO_CHANGE,NO_CHANGE
2025-12-26,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-27,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-28,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-29,413.0,68.0,282.0,63.0,28.0,1,,77,FAIR,15,FAIR,16,GOOD,68,FAIR,FAIR,GOOD,POSITIVE_CALM,RHYTHM_POS_FAIR_OR_POOR_SLEEP_EXCELLENT_TIMING,,,53.0,48,13.0,8.0,19.0,16.0,62,480,480,NO_CHANGE,NO_DATA
2025-12-30,343.0,62.0,269.0,12.0,74.0,2,,55,POOR,3,POOR,18,EXCELLENT,78,FAIR,FAIR,POOR,NEGATIVE_NOT_ENOUGH_REM,GENERAL_NEG_FAIR_OR_POOR_SLEEP,,,58.0,46,13.0,7.0,20.0,21.0,52,480,480,NO_CHANGE,NO_DATA
2025-12-31,451.2,125.0,191.0,136.0,6.0,0,,88,GOOD,30,GOOD,28,EXCELLENT,42,GOOD,GOOD,EXCELLENT,POSITIVE_LONG_AND_CONTINUOUS,STRESS_POS_EXCELLENT_OR_GOOD_SLEEP_RESTFUL_EVENING,,,52.0,47,13.0,6.0,21.0,16.0,75,480,540,NO_CHANGE,NO_DATA
